vjdbv1.1_field_id	vjdbv1.1_name	vjdbv1.1_description	vjdbv1.1_privacy	vjdbv1.1_tags	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation
abbreviation	Abbreviation	Common abbreviations of the virus species name.	internal	"[""Sample"", ""Virus Info"", ""ICTV Taxonomy""]"	N/A	HPV	Free text, common virus name abbreviations were collected by the ICTV	suggestion	freetext
analysis_accession	Analysis Accession	ENA analysis object Accession.	internal	"[""ENA"", ""ENA Analysis"", ""VJDB Analysis"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	unique
antiviral_treatment	Antiviral Treatment	Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	rimantadine; amantadine	Free text	text	freetext
antiviral_treatment_dosage	Antiviral Treatment Dosage	Dosage of the treatment taken by the subject. example: 0.05 mg.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	0.05 mg	Decimal number value followed by an empty space and the unit(!)	text	freetext
antiviral_treatment_duration	Antiviral Treatment Duration	Duration of antiviral treatment after onset of clinical symptoms in days.example: 5.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	5	Decimal number value(!)	text	unique
antiviral_treatment_initiation	Antiviral Treatment Initiation	Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	2.5	Decimalnumber value(!)	text	unique
completeness_checkv	 Completeness CheckV	Completeness of the virus genome sequenceas calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
completeness_method_checkv	 Completeness Method CheckV	Method of determining the completeness of the virus genome sequence as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
contamination_checkv	 Contamination CheckV	Amount of virus genome sequence contamination as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
contig_length_checkv	 Contig Length CheckV	Length of the sequence as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
gene_count_checkv	 Gene Count CheckV	The number of genes in the virus sequence as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
host_genes_checkv	 Host Genes CheckV	The number of host genes as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
kmer_freq_checkv	 Kmer Freq CheckV	Number of times the virus genome was found in the as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
miuvig_quality_checkv	 MIUVIG Quality CheckV	MIUVIG quality as noted by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
proviral_length_checkv	 Proviral Length CheckV	If the sequence is predicated as a provirus, the length ofthe provirus, calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
provirus_checkv	 Provirus CheckV	Prediction of whether the sequence is a provirus by CheckV v1.1.1 against the default CheckV database v1.5. [Yes/No] For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
quality_checkv	 Quality CheckV	"Quality tier of the virus genome as noted by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master 
Possible values:
Complete
High-quality (>90% completeness)
Medium-quality (50-90% completeness)
Low-quality (<50% completeness)
Undetermined quality"	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
viral_genes_checkv	 Viral Genes CheckV	The number of virus genes in the virus sequence as calculated by CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
warnings_checkv	 Warnings CheckV	Warnings generated by running CheckV v1.1.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	internal	"[""Analysis"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
collection_city	Collection City	City where the sample the sequence originates from was collected or sampled.	internal	"[""ENA"", ""NCBI Virus"", ""Sample"", ""Collection""]"	recommended	Jena	Defined list of Cities (!)	text	freetext
collecting_organization	Collecting Organization	Name of the institution/affiliation to which the person collecting the sample belongs	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	mandatory	N/A	Free text	text	freetext
collection_region	Collection Region	Continent where the sample the sequence originates from was collected/sampled.	internal	"[""Sample"", ""Collection""]"	N/A	Asia	Defined list fo regions(!)	text	freetext
collection_source_environment	Collection Source Environment	Describes the physical, environmental or local geographical source of the sample, e.g. soil	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	recommended	N/A	N/A	suggestion	freetext
collector_name	Collector Name	Name of the person that collected the sample	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	mandatory	Zuckerman,N.	Free text	text	freetext
is_current_version	Current Record Version	A flag that indicates if the record is the latest update in VirJenDB database	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
cutoff_for_seropositive_sample	Cutoff for Seropositive Sample	The cuttoff used to determine if the sample is seropositive.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical""]"	recommended	N/A	N/A	text	freetext
experiment_accession	Experiment Accession	References an ENA assembly to an ENA Experiment.	internal	"[""ENA"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	unique
experiment_title	Experiment Title	Clear and useful title to identify the sequencing experiment. This title will not be submitted to the ENA on submission.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Organizational"", ""Study""]"	mandatory	N/A	Free text	text	freetext
genbank_title	GenBank Title	Genbank title of the sequence.	internal	"[""NCBI Virus"", ""Sample"", ""Sequence""]"	N/A	N/A	N/A	text	freetext
genome_completeness_percentage	Genome Completeness Percentage	The level of the sequence completeness compare to the representative sequence in refseq in percentage	internal	"[""Sample"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
genome_sequence	Genome Sequence	Virus genome sequence	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
genome_sequence_hash	Genome Sequence Hash	VIrus genome sequence hash SHA256	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
gravidity	Gravidity	Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	no: yes, post-conception date 2020-05-07	yes/no, if yes provide post conception date or date due with carification which one it is(!)	text	freetext
hospitalisation	Hospitalisation	Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	yes; no	Defined list of values, provided by the ENA	combo	controlled_vocabulary
host_age_normalized	Host Age Normalized	Host Age with a uniform unit, TBD	internal	"[""Host"", ""Clinical ""]"	N/A	N/A	N/A	N/A	N/A
host_assembly_program	Host Assembly Program	The program used for host genome assembly.	internal	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Workflows""]"	N/A	N/A	Free text	N/A	N/A
host_behaviour	Host Behaviour	Natural behaviour of the sampled host.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical""]"	recommended	domestic; wild	Defined list of values, provided by the ENA	combo	controlled_vocabulary
host_confidence_score	Host Confidence Score	"Confidence score associated with the method by which ""Host Accession ID"" from NCBI GenBank or ""NCBI Taxonomy Lineage"" was associated to the virus sequence. Multiple host associations/predictions separated by semicolons. "	internal	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
host_description	Host Description	Other descriptive information relating to the host.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	N/A	Free text	textarea	freetext
host_disease	Host Disease	The hosts main disease diagnosis.	internal	"[""Host"", ""Clinical""]"	N/A	N/A	N/A	text	freetext
host_disease_outcome	Host Disease Outcome	The hosts disease outcome. Did the host recover from the disease?	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical""]"	recommended	recovered; dead	Defined list of values, provided by the ENA	combo	controlled_vocabulary
host_disease_symptoms	Host Disease Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.	internal	"[""ENA"", ""Host"", ""Clinical""]"	optional	fever; headache; runny_nose	Free text	suggestion	unique
host_habitat	Host Habitat	Natural habitat of the avian or mammalian host	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Collection""]"	recommended	domestic:free-range farm; wild:resident	Defined list of values, provided by the ENA	combo	controlled_vocabulary
host_health_state	Host Health State	Health state of the host at the time of sample collection, e.g. diseased or healthy	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Collection""]"	mandatory	diseased; healthy	Defined list of values, provided by the ENA	combo	controlled_vocabulary
host_subject_id	Host Subject ID	The unique ID of the sampled host from the BV-BRC.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	mandatory	N/A	N/A	suggestion	freetext
tax_id_ictv	Tax ID ICTV	ICTV ID from Master_Species_List file	internal	"[""Source"", ""Flags"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
lineage_hash_list_ictv	Lineage Hash List ICTV	The list of the hash for the lineage of the rank in the ICTV VMR.	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
rank_name_ictv	Rank Name ICTV	ICTV Rank Name	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
rank_type_ictv	Rank Type ICTV	ICTV Rank Type	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
subclass_ictv	Subclass ICTV	A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	internal	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
subkingdom_ictv	Subkingdom ICTV	A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	internal	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
subrealm_ictv	Subrealm ICTV	A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.	internal	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
virus_name_ictv	Virus name ICTV	Commonly used virus name (or names separated by a semi-colon).	internal	"[""Taxonomy"", ""Virus Info"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
illness_duration	Illness Duration	The number of days the illness lasted. example: 4	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	4	Whole number value	text	unique
illness_onset_date	Illness Onset Date	Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	2011-10-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext
illness_symptoms	Illness Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical ""]"	optional	fever; headache; malaise; myalgia; nausea; runny_nose	Free text, symptoms seperated by semicolon	text	freetext
imgvr_uvig_id	IMGVR UVIG ID	IMGVR UVIG ID	internal	"[""IMG/VR"", ""Host"", ""Identifier""]"	N/A	N/A	N/A	N/A	N/A
influenza_strain_unique_number	Influenza Strain Unique Number	Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	411	Whole number value	text	unique
influenza_test_method	Influenza Test Method	Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	mandatory	"""RT-PCR; antigen ELISA"""	Free text (Methods) seperated by semicolon, no quotes	suggestion	unique
influenza_test_result	Influenza Test Result	Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	mandatory	"""P;P""; ""N""; ""N;P"""	P(positive)/N(negative) divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique
influenza_vaccination_date	Influenza Vaccination Date	Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	2007-05-12	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext
influenza_vaccination_type	Influenza Vaccination Type	Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	2009 h1n1 flumist	Free text	text	freetext
influenza_virus_type	Influenza Virus Type	Influenza virus type classification: A, B or C.	internal	"[""ENA"", ""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	recommended	A; B; C	Defined list of values, provided by the ENA	combo	controlled_vocabulary
influenza_like_illness_at_the_time_of_sample_collection	Influenza-like Illness at the Time of Sample Collection	Is the subject at the time of sample collection considered to have influenza like illness?	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	yes; no	Defined list of values, provided by the ENA	text	freetext
inoculation_dose	Inoculation Dose	Dose used for the inoculoation experiment.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
inoculation_route	Inoculation Route	Brief description of the protocol inoculation route.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
inoculation_stock_availability	Inoculation Stock Availability	Is the virus stock used for the inoculation available?	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	combo	controlled_vocabulary
insert_size	Insert Size	Insert size for paired reads.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	optional	N/A	N/A	text	freetext
insertion_date	Insertion Date	Date of the insertion into the VirJenDB	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
sequencing_instrument	Sequencing Instrument	Instrument model used for sequencing.	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	mandatory	AB 310 Genetic Analyzer	Defined list of values, provided by the ENA	combo	controlled_vocabulary
lab_passaged	Lab Passaged	Indicator that sequences came from samples from a laboratory setting, and not from a wild host.	internal	"[""Sample"", ""Virus Info""]"	N/A	N/A	N/A	N/A	N/A
latitude	Latitude	The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)	internal	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	recommended	-18.54; 68.277	Coordinates in DD format. Decimal number between  -90 and 90. 90 and -90 work without decimals.	text	unique
library_construction_protocol	Library Construction Protocol	The protocol used to construct the sequencing library.	internal	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Workflows""]"	optional	N/A	Free text	text	freetext
